name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing,Hyundai,2007,400000,45000,Petrol
Hyundai Eon,Hyundai,2013,950000,25000,Petrol
Hyundai Grand i10,Hyundai,2014,1625000,28000,Petrol
Ford EcoSport Titanium,Ford,2014,2875000,36000,Diesel
Ford Figo,Ford,2012,875000,41000,Diesel
Hyundai Eon,Hyundai,2013,950000,25000,Petrol
Ford EcoSport Ambiente,Ford,2016,4150000,24530,Diesel
Suzuki Alto,Suzuki,2015,1250000,60000,Petrol
Skoda Fabia Classic,Skoda,2010,910000,60000,Petrol
Suzuki Stingray,Suzuki,2015,1575000,30000,Petrol
Hyundai Elite i20,Hyundai,2014,2075000,32000,Petrol
Suzuki Alto,Suzuki,2015,1250000,60000,Petrol
Hyundai Santro Xing,Hyundai,2007,400000,45000,Petrol
Suzuki Stingray,Suzuki,2015,1575000,30000,Petrol
Audi A8,Audi,2017,5000000,4000,Petrol
Audi Q7,Audi,2014,2500000,16934,Diesel
Ford Figo,Ford,2012,875000,41000,Diesel
Suzuki Alto,Suzuki,2014,800000,35550,Petrol
Hyundai Santro Xing,Hyundai,2007,400000,45000,Petrol
Suzuki Stingray,Suzuki,2016,1575000,30000,Petrol
Suzuki Alto,Suzuki,2015,375000,39000,Petrol
Hyundai i20 Sportz,Hyundai,2012,500000,55000,Petrol
Hyundai i20 Sportz,Hyundai,2012,500000,55000,Petrol
Hyundai i20 Sportz,Hyundai,2012,500000,55000,Petrol
Suzuki Alto,Suzuki,2017,950000,72000,Petrol
Suzuki Vitara,Suzuki,2016,1450000,15975,Diesel
Suzuki Alto,Suzuki,2008,475000,70000,Petrol
Suzuki Vitara,Suzuki,2017,1550000,15975,Diesel
Suzuki Swift,Suzuki,2014,1925000,35522,Diesel
Suzuki Swift,Suzuki,2014,1925000,35522,Diesel
Suzuki Swift,Suzuki,2017,900000,15487,Petrol
Suzuki Wagon,Suzuki,2013,525000,39000,Petrol
Suzuki Wagon,Suzuki,2013,525000,39000,Petrol
Toyota Innova 2.0,Toyota,2012,3250000,82000,Diesel
Renault Lodgy 85,Renault,2018,3449995,20000,Diesel
Skoda Yeti Ambition,Skoda,2012,2240000,68000,Diesel
Suzuki Baleno,Suzuki,2017,2745000,32000,Diesel
Renault Duster 110,Renault,2012,2505000,38000,Diesel
Renault Duster 85,Renault,2013,2449995,27000,Diesel
Honda City 1.5,Honda,2011,1400000,33000,Petrol
Suzuki Alto,Suzuki,2015,1250000,60000,Petrol
Suzuki Dzire,Suzuki,2013,1749995,46000,Diesel
Honda Amaze,Honda,2013,1424995,46000,Diesel
Honda Amaze 1.5,Honda,2015,1725000,36000,Diesel
Honda City,Honda,2015,2499995,55000,Petrol
Datsun Redi GO,Datsun,2017,1175000,16000,Petrol
Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
Mitsubishi Pajero Sport,Mitsubishi,2015,7375000,47000,Diesel
Honda Amaze,Honda,2017,1444995,46000,Diesel
Suzuki Swift,Suzuki,2014,1925000,35522,Diesel
Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
Suzuki Swift,Suzuki,2017,900000,15487,Petrol
Suzuki Wagon,Suzuki,2013,525000,39000,Petrol
Suzuki Swift,Suzuki,2013,525000,39000,Petrol
Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
Suzuki Swift,Suzuki,2017,1100000,30874,Petrol
Honda City ZX,Honda,2017,850000,15000,Diesel
Suzuki Wagon,Suzuki,2013,425000,29685,Petrol
Ford Figo,Ford,2012,875000,41000,Diesel
Hyundai Eon,Hyundai,2013,950000,25000,Petrol
Suzuki Wagon,Suzuki,2013,425000,29685,Petrol
Ford EcoSport Ambiente,Ford,2016,4150000,24530,Diesel
